motor_id;timestamp;rotacao_rpm;vibracao_mm_s;temperatura_c;corrente_a;falha
1;2026-01-01 00:00:00;1767,32;2,574;72,22;12,37;0
1;2026-01-01 00:01:00;1783,54;2,858;71,72;13,75;0
1;2026-01-01 00:02:00;1819,29;1,815;67,94;13,24;0
1;2026-01-01 00:03:00;1808,19;2,641;75,53;12,18;0
1;2026-01-01 00:04:00;1815,67;3,457;72,2;12,24;0
1;2026-01-01 00:05:00;1794,77;2,711;74,73;13,15;0
1;2026-01-01 00:06:00;1838,08;2,685;78,78;12,63;0
1;2026-01-01 00:07:00;1835,54;2,878;72;12,69;0
1;2026-01-01 00:08:00;1817,74;3,017;71,83;13,55;0
1;2026-01-01 00:09:00;1844,27;1,859;73,18;12,34;0
1;2026-01-01 00:10:00;1827,78;1,985;75,35;12,84;0
1;2026-01-01 00:11:00;1794,61;2,742;71,46;13,36;0
1;2026-01-01 00:12:00;1825,31;2,372;71,3;13,27;0
1;2026-01-01 00:13:00;1792,12;3,183;75,52;12,69;0
1;2026-01-01 00:14:00;1838,05;2,532;73,83;12,62;0
1;2026-01-01 00:15:00;1814,85;1,885;67,77;11,75;0
1;2026-01-01 00:16:00;1811,47;2,151;69,82;12,16;0
1;2026-01-01 00:17:00;1799,07;1,558;76,63;12,98;0
1;2026-01-01 00:18:00;1846,66;2,565;73,88;12,71;0
1;2026-01-01 00:19:00;1812,23;2,583;70,97;12,83;0
1;2026-01-01 00:20:00;1805,39;2,489;72,45;13,41;0
1;2026-01-01 00:21:00;1807,29;3,09;72,91;12,08;0
1;2026-01-01 00:22:00;1829,4;3,138;74,72;12,65;0
1;2026-01-01 00:23:00;1825,23;2,59;69,48;12,9;0
1;2026-01-01 00:24:00;1826,41;1,804;70,78;12,37;0
1;2026-01-01 00:25:00;1826,86;2,905;73,56;13,65;0
1;2026-01-01 00:26:00;1869,63;2,88;72,63;13,33;0
1;2026-01-01 00:27:00;1805,93;2,782;74,31;12,96;0
1;2026-01-01 00:28:00;1803,29;3,051;69,81;13,87;0
1;2026-01-01 00:29:00;1795,75;2,192;73,77;11,89;0
1;2026-01-01 00:30:00;1831,49;3,462;75,61;12,78;0
1;2026-01-01 00:31:00;1844,32;2,275;74,1;13,01;0
1;2026-01-01 00:32:00;1813,24;2,958;73,23;12,24;0
1;2026-01-01 00:33:00;1795,09;1,983;72,64;12,97;0
1;2026-01-01 00:34:00;1795,48;2,286;70,79;12,13;0
1;2026-01-01 00:35:00;1832,36;3,265;72,7;13,2;0
1;2026-01-01 00:36:00;1834,67;2,554;76,03;13,42;0
1;2026-01-01 00:37:00;1829,67;2,994;72,58;12,95;0
1;2026-01-01 00:38:00;1799,46;2,753;70,65;11,68;0
1;2026-01-01 00:39:00;1821,9;2,616;71,65;12,21;0
1;2026-01-01 00:40:00;1819,01;3,204;73,38;13,13;0
1;2026-01-01 00:41:00;1821,56;2,564;71,95;12,8;0
1;2026-01-01 00:42:00;1837,88;1,946;74,09;11,17;0
1;2026-01-01 00:43:00;1821,68;2,337;74,19;13,54;0
1;2026-01-01 00:44:00;1833,07;2,879;75,1;12,87;0
1;2026-01-01 00:45:00;1817,78;2,817;76,44;12,3;0
1;2026-01-01 00:46:00;1823,32;2,031;75,37;13,39;0
1;2026-01-01 00:47:00;1831,88;2,369;70,54;12,38;0
1;2026-01-01 00:48:00;1779,66;2,426;70,62;12,38;0
1;2026-01-01 00:49:00;1808,1;2,512;72,69;13;0
1;2026-01-01 00:50:00;1804,33;2,108;71,75;13,86;0
1;2026-01-01 00:51:00;1800,12;2,407;70,03;13,76;0
1;2026-01-01 00:52:00;1809,21;2,367;71,77;13,01;0
1;2026-01-01 00:53:00;1853,47;2,967;71,69;13,07;0
1;2026-01-01 00:54:00;1794,45;2,982;71,2;13,26;0
1;2026-01-01 00:55:00;1840,3;2,6;72,09;12,04;0
1;2026-01-01 00:56:00;1774,02;2,502;75,83;13,18;0
1;2026-01-01 00:57:00;1807,72;2,714;73,38;12,35;0
1;2026-01-01 00:58:00;1820,16;2,332;79,06;12,98;0
1;2026-01-01 00:59:00;1830,75;2,2;73,31;12,65;0
1;2026-01-01 01:00:00;1833,87;2,282;72,15;13,09;0
1;2026-01-01 01:01:00;1835,93;2,404;72,89;12,86;0
1;2026-01-01 01:02:00;1807,38;2,193;73,52;10,95;0
1;2026-01-01 01:03:00;1804,53;2,723;73,97;12,9;0
1;2026-01-01 01:04:00;1837,54;2,95;78,07;13,17;0
1;2026-01-01 01:05:00;1811,31;2,023;70,77;13,06;0
1;2026-01-01 01:06:00;1784,2;2,668;75,03;12,73;0
1;2026-01-01 01:07:00;1787,76;2,57;73,4;13,77;0
1;2026-01-01 01:08:00;1793,11;2,795;68,95;12,98;0
1;2026-01-01 01:09:00;1828,52;2,653;74,81;13,05;0
1;2026-01-01 01:10:00;1819,65;2,077;76,05;13,42;0
1;2026-01-01 01:11:00;1833,36;2,153;70,74;13,01;0
1;2026-01-01 01:12:00;1805,41;2,67;72,86;12,25;0
1;2026-01-01 01:13:00;1820,06;3,07;68,57;11,33;0
1;2026-01-01 01:14:00;1831,73;1,773;69,73;12,5;0
1;2026-01-01 01:15:00;1808,36;2,797;75,5;13,25;0
1;2026-01-01 01:16:00;1827,51;3,134;71,71;12,58;0
1;2026-01-01 01:17:00;1799,55;2,597;70,11;13,27;0
1;2026-01-01 01:18:00;1807,02;2,878;73,45;12,88;0
1;2026-01-01 01:19:00;1806,55;2,377;71,57;13,56;0
1;2026-01-01 01:20:00;1786,2;2,611;71,7;12,61;0
1;2026-01-01 01:21:00;1828,27;2,01;74,73;13,07;0
1;2026-01-01 01:22:00;1804,36;1,721;69,97;13,09;0
1;2026-01-01 01:23:00;1816,41;3,035;70,62;13,69;0
1;2026-01-01 01:24:00;1828,11;2,264;73,26;11,77;0
1;2026-01-01 01:25:00;1827,26;2,476;75,3;12,51;0
1;2026-01-01 01:26:00;1832,73;2,104;75,97;13,3;0
1;2026-01-01 01:27:00;1813,63;2,094;71,22;13,72;0
1;2026-01-01 01:28:00;1805,51;2,589;75,22;12,93;0
1;2026-01-01 01:29:00;1814,1;2,366;70,92;12,61;0
1;2026-01-01 01:30:00;1773,91;2,81;77,44;13,24;0
1;2026-01-01 01:31:00;1779,92;2,839;70,04;13,31;0
1;2026-01-01 01:32:00;1783,03;2,787;76,2;12,57;0
1;2026-01-01 01:33:00;1791,16;2,754;71,24;12,99;0
1;2026-01-01 01:34:00;1826,09;3,289;77,91;13,5;0
1;2026-01-01 01:35:00;1793,46;2,231;74,36;13,92;0
1;2026-01-01 01:36:00;1806,64;2,636;70,34;13,24;0
1;2026-01-01 01:37:00;1848,57;3,111;71,57;12,82;0
1;2026-01-01 01:38:00;1807,19;3,164;74,83;12,76;0
1;2026-01-01 01:39:00;1834,53;2,09;75,51;13,12;0
1;2026-01-01 01:40:00;1792,75;2,533;72,7;12,72;0
1;2026-01-01 01:41:00;1810,96;3,202;72,99;12,9;0
1;2026-01-01 01:42:00;1792,34;2,862;74,77;12,15;0
1;2026-01-01 01:43:00;1807,62;2,736;73,21;13,57;0
1;2026-01-01 01:44:00;1837,1;2,571;69,65;12,11;0
1;2026-01-01 01:45:00;1772,91;2,505;70,85;12,53;0
1;2026-01-01 01:46:00;1826,95;2,774;73,47;12,85;0
1;2026-01-01 01:47:00;1822,04;2,557;75,92;13,98;0
1;2026-01-01 01:48:00;1801,24;2,641;76,92;12,54;0
1;2026-01-01 01:49:00;1779,94;2,69;74,83;12,39;0
1;2026-01-01 01:50:00;1817,9;2,387;73,6;12,46;0
1;2026-01-01 01:51:00;1802,86;2,871;74,75;13,78;0
1;2026-01-01 01:52:00;1821,91;3,824;71,21;11,1;0
1;2026-01-01 01:53:00;1816,64;1,948;72,5;12,19;0
1;2026-01-01 01:54:00;1856,14;2,788;70,82;14,43;0
1;2026-01-01 01:55:00;1810,11;2,354;69,76;13,14;0
1;2026-01-01 01:56:00;1790,51;2,889;73,71;12,13;0
1;2026-01-01 01:57:00;1820,58;2,677;73,34;12,76;0
1;2026-01-01 01:58:00;1821,59;2,963;74,6;12,83;0
1;2026-01-01 01:59:00;1850,07;3,129;74,24;13,3;0
1;2026-01-01 02:00:00;1836,97;2,735;73,49;13,89;0
1;2026-01-01 02:01:00;1825,02;3,111;74,27;13,02;0
1;2026-01-01 02:02:00;1852,68;1,721;72,77;12,47;0
1;2026-01-01 02:03:00;1786,37;3,294;73,91;13,26;0
1;2026-01-01 02:04:00;1800,1;2,808;71,06;12,37;0
1;2026-01-01 02:05:00;1792,93;3,089;73,8;12,17;0
1;2026-01-01 02:06:00;1806,35;2,17;74,55;11,73;0
1;2026-01-01 02:07:00;1781,68;2,326;71,2;11,85;0
1;2026-01-01 02:08:00;1831,97;2,717;74,64;12,62;0
1;2026-01-01 02:09:00;1810,54;2,652;73,12;12,49;0
1;2026-01-01 02:10:00;1779,32;2,772;73,54;13,42;0
1;2026-01-01 02:11:00;1790,7;3,092;72,22;12,56;0
1;2026-01-01 02:12:00;1823,93;1,952;78,37;11,43;0
1;2026-01-01 02:13:00;1837,05;3,048;78,05;12,73;0
1;2026-01-01 02:14:00;1866,01;2,662;76,9;13,11;0
1;2026-01-01 02:15:00;1888,94;2,577;80,66;13,07;0
1;2026-01-01 02:16:00;1826,45;2,07;75,43;14,38;0
1;2026-01-01 02:17:00;1791,35;2,86;83,66;13,14;0
1;2026-01-01 02:18:00;1762,79;1,693;75,69;14,08;0
1;2026-01-01 02:19:00;1822,79;2,918;77,07;13,58;0
1;2026-01-01 02:20:00;1795,77;2,061;75,61;13,6;0
1;2026-01-01 02:21:00;1805,71;2,68;77,71;13,17;0
1;2026-01-01 02:22:00;1800,79;2,611;79,04;13,67;0
1;2026-01-01 02:23:00;1812,57;3,126;76,84;13,29;0
1;2026-01-01 02:24:00;1842,74;2,587;81,74;13,89;0
1;2026-01-01 02:25:00;1820,02;2,381;78,08;13,69;0
1;2026-01-01 02:26:00;1812,13;2,456;78,33;13,3;0
1;2026-01-01 02:27:00;1790,2;3,167;75,55;14,5;0
1;2026-01-01 02:28:00;1774,23;2,873;79,05;14,2;0
1;2026-01-01 02:29:00;1803,94;2,504;77,84;13,72;0
1;2026-01-01 02:30:00;1814,75;2,564;76,83;14,11;0
1;2026-01-01 02:31:00;1860,29;2,031;76,58;14,01;0
1;2026-01-01 02:32:00;1819,35;2,814;85,38;13,58;0
1;2026-01-01 02:33:00;1840,66;1,954;78,22;14,18;0
1;2026-01-01 02:34:00;1803,61;2,959;75,41;13,81;0
1;2026-01-01 02:35:00;1786,47;2,71;77,48;13,65;0
1;2026-01-01 02:36:00;1791,97;3,613;79,27;13,29;0
